Class,Num_data,Precision,Recall,F1_score,Support
,0,0.00,0.00,0.00,1
,2,0.60,1.00,0.75,3
,6,0.50,1.00,0.67,3
,8,0.00,0.00,0.00,1
,9,0.00,0.00,0.00,0
,10,1.00,1.00,1.00,10
,12,0.00,0.00,0.00,1
,14,0.33,0.20,0.25,5
,15,0.70,0.88,0.78,16
,16,0.67,0.67,0.67,6
,17,0.00,0.00,0.00,1
,19,0.98,1.00,0.99,40
,20,0.90,0.76,0.83,25
,22,0.00,0.00,0.00,3
,23,1.00,1.00,1.00,31
,24,0.85,0.73,0.79,15
,25,0.00,0.00,0.00,2
,26,0.17,1.00,0.29,1
,28,0.00,0.00,0.00,2
,29,0.00,0.00,0.00,1
,30,0.00,0.00,0.00,1
,31,1.00,1.00,1.00,2
,32,1.00,1.00,1.00,1
,34,1.00,1.00,1.00,35
,35,0.00,0.00,0.00,1
,36,0.00,0.00,0.00,0
,37,0.00,0.00,0.00,1
,38,0.58,0.88,0.70,8
,39,0.50,1.00,0.67,2
,40,0.00,0.00,0.00,3
,42,0.00,0.00,0.00,1
,43,1.00,0.88,0.93,8
,44,0.00,0.00,0.00,3
,45,0.00,0.00,0.00,1
,46,0.00,0.00,0.00,2
,47,0.00,0.00,0.00,2
,49,1.00,1.00,1.00,1
,50,0.00,0.00,0.00,1
,51,0.00,0.00,0.00,0
,52,0.00,0.00,0.00,1
,53,0.00,0.00,0.00,1
,55,1.00,1.00,1.00,1
,56,0.00,0.00,0.00,2
,58,1.00,0.50,0.67,2
,59,0.00,0.00,0.00,0
,60,0.00,0.00,0.00,1
,61,0.00,0.00,0.00,1
,63,1.00,1.00,1.00,2
,64,0.00,0.00,0.00,2
,67,1.00,0.50,0.67,2
    accuracy,,1.00,,0.77,255
   macro avg,,0.36,['0.38'],0.35,255
weighted avg,,0.77,['0.77'],0.76,255
